fold,n,R2,RMSE,MAE,bias_y_minus_pred,mean_pred_std,coverage_95,max_abs_error
1,17,0.9159324785326898,3.346098701735879,1.4011860007943833,-0.27860440170381023,3.0352808422193602,0.9411764705882353,12.74823894293543
2,17,0.7151776399314556,3.744467077723986,1.433757349276714,0.22353598888271212,2.826872544780418,0.9411764705882353,12.206860065936542
3,17,0.9578666820783815,1.641768475780123,0.8619616047761096,0.16014690589824057,3.4341632847041175,0.9411764705882353,4.781089919044081
4,17,0.9728540557247858,2.367611706397817,1.222998096807069,-0.9864697039103824,3.598517594612646,0.8823529411764706,6.125666274496513
5,17,0.9236976133456332,0.8543421130030986,0.4864292090767748,-0.03421415460447551,4.032512548418361,1.0,2.5128403566118465
6,17,0.9620044273494766,2.6855446670413987,1.2683796262191411,-0.6454154400143469,4.053626096441576,0.9411764705882353,10.205623128455075
7,17,0.8629926595150746,4.234167041773009,2.64982831817195,-0.43890348986742245,3.8290906999905654,0.8823529411764706,11.841045344759513
8,17,0.9568799056386476,2.133948425042361,1.186915678990433,0.02032458728308578,3.189100003467023,1.0,7.63979882217455
9,17,0.7718344812234551,1.5708739546733865,0.8310259918851699,0.5927373016285696,3.4867582562562545,1.0,4.44607738568768
10,17,0.9830882808460071,1.1850489544897809,0.5752575494594635,0.4102701615616996,3.638507301098962,1.0,4.223513805093582
