candidate,angle_bin,R2,RMSE,MAE,corr2,n
compact_axis_global_matern32,"[10,30)",0.849911015704682,1.0392240073834558,0.5056927035110466,0.8680625412996441,36
compact_axis_global_matern32,"[30,50)",0.9596116457251919,1.7828050255781387,0.9432493717365434,0.9600012720631966,52
compact_axis_global_matern32,"[50,70]",0.9259171479137553,4.098676135391283,2.3116184261962838,0.9361030294895192,41
compact_axis_global_matern32,"[-30,-10)",0.8273127336858734,3.1112456992837387,1.0041383161787474,0.9681455514935764,24
compact_axis_global_matern32,"[-10,10)",0.8657502075756283,1.55744490530903,0.9990383258634962,0.9441830188696501,17
compact_axis_global_rational_quadratic,"[10,30)",0.8246134055709367,1.1233962226728464,0.5273040617191911,0.8676255457124348,36
compact_axis_global_rational_quadratic,"[30,50)",0.9582889039142214,1.811763776337974,0.9623018876740086,0.9599549839248122,52
compact_axis_global_rational_quadratic,"[50,70]",0.9270430290212861,4.067411887380788,2.1374293337160313,0.9281254094695537,41
compact_axis_global_rational_quadratic,"[-30,-10)",0.8406037545256316,2.9891189356981003,1.0875294802255018,0.9411566640836441,24
compact_axis_global_rational_quadratic,"[-10,10)",0.8080797626566418,1.8621568845867673,1.1224966961709504,0.9041677483205045,17
axis_plus_environment_matern32,"[10,30)",0.7942437046446043,1.2167779403662775,0.5825507109368444,0.8411033347112212,36
axis_plus_environment_matern32,"[30,50)",0.9733047624587629,1.4494147143848959,0.9183397522398334,0.9735444114322448,52
axis_plus_environment_matern32,"[50,70]",0.9532212120894308,3.2569361042390352,1.7827265172798505,0.9536912106144009,41
axis_plus_environment_matern32,"[-30,-10)",0.8846275671674592,2.5430516289912255,0.8900500830105605,0.991461765910025,24
axis_plus_environment_matern32,"[-10,10)",0.8977502138386013,1.3592116403397294,0.9757405398674659,0.9540674866107256,17
axis_environment_interaction_matern32,"[10,30)",0.9681882514451828,0.4784411572345704,0.2467436507595454,0.9742552737144436,36
axis_environment_interaction_matern32,"[30,50)",0.9901170608097715,0.8818989645255843,0.4860792602049979,0.9904151005987321,52
axis_environment_interaction_matern32,"[50,70]",0.9632652867718388,2.88617780858845,1.287324144182673,0.96446243253918,41
axis_environment_interaction_matern32,"[-30,-10)",0.9592725272986453,1.510942309929929,0.6168294937770927,0.9910061860613812,24
axis_environment_interaction_matern32,"[-10,10)",0.9620892920199924,0.8276311506927282,0.40944946457231585,0.9692397835685238,17
moe_matern32_matern12_gate40,"[10,30)",0.9094849722389606,0.8070400846504718,0.34154495642844807,0.9107497022329362,36
moe_matern32_matern12_gate40,"[30,50)",0.9025042020449501,2.7699295292062165,1.415837827611411,0.9044816167309752,52
moe_matern32_matern12_gate40,"[50,70]",0.8779921837962159,5.2599132692811486,3.034051882198875,0.8818787530633383,41
moe_matern32_matern12_gate40,"[-30,-10)",0.8774890845239004,2.620544534130272,1.00577406713529,0.9641891137002397,24
moe_matern32_matern12_gate40,"[-10,10)",0.9168517460716763,1.2256950941092246,0.5948354105153015,0.9356158012339477,17
moe_matern32_rf_gate40,"[10,30)",0.9096679215900763,0.8062240757214953,0.3423283383138165,0.9109757656441919,36
moe_matern32_rf_gate40,"[30,50)",0.8027500379534348,3.9398912571598355,1.5858620930057432,0.8090205113789891,52
moe_matern32_rf_gate40,"[50,70]",0.9417191672433658,3.6353617259211926,1.652968292682943,0.9421055969524643,41
moe_matern32_rf_gate40,"[-30,-10)",0.8805296708937286,2.5878206973933553,0.9976517893217866,0.9644368921833658,24
moe_matern32_rf_gate40,"[-10,10)",0.9161382566852632,1.2309426630949662,0.5980950122231915,0.934921765010987,17
