file_key,fold,y,pred_mean,pred_std,residual,lower_95,upper_95,rf_y,rf_pred,gpr_abs_error,rf_abs_error,gpr_abs_error_gain_vs_rf,gpr_has_lower_abs_error
0-0-3-18-14,1,1.89,14.63823894293543,2.553387641064346,-12.74823894293543,9.633691127879626,19.642786757991235,1.89,3.76248699655472,12.74823894293543,1.8724869965547202,-10.87575194638071,False
0-0-3-18-7,2,39.07,26.863139934063454,2.289457802585104,12.206860065936542,22.375885096872445,31.35039477125447,39.07,25.2027533406897,12.206860065936546,13.8672466593103,1.6603865933737545,True
0-0-2-3-1,7,24.7,36.54104534475951,6.57921254150342,-11.841045344759513,23.64602571677857,49.436064972740446,24.7,34.3079451173323,11.841045344759511,9.607945117332303,-2.233100227427208,False
0-0-3-18-13,6,3.9,14.105623128455075,2.9788945543233205,-10.205623128455075,8.267097088238872,19.94414916867128,3.9,-0.149967074098019,10.205623128455075,4.049967074098019,-6.155656054357056,False
0-0-2-3-0,2,18.83,28.210360106340005,6.637867122274859,-9.380360106340008,15.20037961251875,41.22034060016126,18.83,31.4408445586578,9.380360106340007,12.610844558657803,3.2304844523177962,True
0-0-3-18-12,7,6.73,14.70074338768569,3.006411415960505,-7.97074338768569,8.808285289693032,20.59320148567835,6.73,3.68565652881908,7.97074338768569,3.0443434711809205,-4.92639991650477,False
0-0-2-16-14,8,4.6,12.23979882217455,4.0933898538611375,-7.63979882217455,4.2169021339250445,20.26269551042405,4.6,14.0461019130551,7.63979882217455,9.4461019130551,1.8063030908805509,True
0-0-2-13-4,7,39.08,31.800059412463003,3.686967050319426,7.279940587536995,24.57373678165105,39.02638204327496,39.08,39.2557455873679,7.279940587536995,0.17574558736789925,-7.104195000169096,False
0-0-2-13-9,4,5.23,11.355666274496514,4.741557507012658,-6.125666274496513,2.0623843301261804,20.64894821886685,5.23,28.7350044988466,6.125666274496513,23.5050044988466,17.379338224350086,True
0-0-2-16-11,4,11.68,16.92718810417765,2.591524446022889,-5.247188104177649,11.847893524917671,22.006482683437625,11.68,15.4155155166828,5.247188104177649,3.735515516682801,-1.5116725874948482,False
0-0-3-18-11,4,11.15,16.14992175812303,1.7520383213962445,-4.999921758123028,12.715989748652376,19.58385376759368,11.15,10.0395216653224,4.999921758123028,1.1104783346776,-3.889443423445428,False
0-0-2-16-12,3,14.77,9.988910080955918,2.06253790177648,4.781089919044081,5.946410076725207,14.031410085186629,14.77,8.57443340642862,4.781089919044081,6.19556659357138,1.4144766745272985,True
0-0-2-9-12,7,43.0,38.53022289067984,4.388816210877717,4.469777109320162,29.92830118259396,47.13214459876571,43.0,41.2614414886659,4.469777109320162,1.738558511334098,-2.7312185979860644,False
0-0-2-10-0,9,40.74,36.29392261431232,7.871389816591186,4.44607738568768,20.866282065518256,51.72156316310639,40.74,32.4608594214473,4.44607738568768,8.279140578552699,3.833063192865019,True
0-0-3-18-9,1,25.3,21.05121425330997,2.5319067729589304,4.248785746690032,16.088768166097434,26.013660340522502,25.3,22.0408409864142,4.248785746690032,3.2591590135858013,-0.989626733104231,False
