candidate,fold,R2,RMSE,MAE,corr2,n
axis_environment_interaction_matern32,1,0.5285918889547621,7.4966442917276375,4.4081282090737925,0.6529228617680126,34
axis_environment_interaction_matern32,2,-7.882567203598434,4.914171815602882,3.2641988478678168,0.31509261025267227,34
axis_environment_interaction_matern32,3,-0.17749584169136057,3.2697410950600765,2.7764484402372367,0.8786206162148987,34
axis_environment_interaction_matern32,4,-0.7571563062163518,7.958376927881364,5.045119193909411,0.020240357405087218,34
axis_environment_interaction_matern32,5,0.518711459923717,10.939566095332696,7.074044838770541,0.7018921016515604,34
axis_plus_environment_matern32,1,-1.0728731037656085,15.720079475778192,10.210150706182304,0.11592062310797299,34
axis_plus_environment_matern32,2,-6.343182368702981,4.468103687258125,3.2177245923226043,0.6194690925493204,34
axis_plus_environment_matern32,3,-0.5040635739520976,3.695445241480279,2.748830703986877,0.6364192521888872,34
axis_plus_environment_matern32,4,-4.534514777541181,14.124044671542343,11.117722876643025,0.05617471404496183,34
axis_plus_environment_matern32,5,0.05025183631470709,15.367441459951202,9.487619374230295,0.1665963394994693,34
compact_axis_global_matern12,1,0.648110052635091,6.476968863288536,2.729380002180853,0.9449326509993552,34
compact_axis_global_matern12,2,-0.10692419232953987,1.7347624995907505,1.195286847039532,0.5296537128080545,34
compact_axis_global_matern12,3,-0.7264044489850647,3.9591772736864717,3.1500505412079733,0.18299139375904422,34
compact_axis_global_matern12,4,-1.892842182254622,10.21131509384722,7.52730110107537,0.06690437599115327,34
compact_axis_global_matern12,5,-0.042021840834654434,16.096659121034655,10.070751608576407,0.12309301759232034,34
compact_axis_global_matern32,1,0.6227712662758546,6.706111376797018,3.138422396623767,0.9265141298942703,34
compact_axis_global_matern32,2,-0.5950901905780999,2.0824458053149506,1.5325542049605427,0.500563302570829,34
compact_axis_global_matern32,3,-1.7862589264185358,5.029726973232854,4.036278534956847,0.09992067289113969,34
compact_axis_global_matern32,4,-3.4892550690128,12.720566352082717,9.60761442546989,0.05006127604812539,34
compact_axis_global_matern32,5,-0.0801959024478136,16.38885447425911,10.131348933804153,0.1133256696776561,34
compact_axis_global_rational_quadratic,1,0.5900115941677679,6.9912392865566675,3.611471770817473,0.9145704684148317,34
compact_axis_global_rational_quadratic,2,-0.4791148014974296,2.0053123446740004,1.35625103422031,0.4659361221231948,34
compact_axis_global_rational_quadratic,3,-3.6083933239042807,6.46857240951683,5.0581968960449295,6.322779193639307e-08,34
compact_axis_global_rational_quadratic,4,-0.38283167676633423,7.059988059146278,5.122981872050342,0.14189488500802752,34
compact_axis_global_rational_quadratic,5,-0.10921406546211565,16.60752902645333,10.184169493712645,0.10367294164852463,34
legacy_angles_global_matern32,1,0.6241202565545216,6.69410992991214,3.1540658241955373,0.9274638301680977,34
legacy_angles_global_matern32,2,-0.5797808492052436,2.0724282715997315,1.5263976689019698,0.5024641311292858,34
legacy_angles_global_matern32,3,-1.7887794865490623,5.032001504012852,4.0507240662796375,0.10407335708983047,34
legacy_angles_global_matern32,4,-3.5345769581726536,12.78461621158116,9.6466005689832,0.05084882734657,34
legacy_angles_global_matern32,5,-0.05877976614893243,16.225577110184673,10.087277979074344,0.11946752235638805,34
moe_matern32_matern12_gate40,1,0.7528842454405483,5.427734505358855,2.3844086882343123,0.9467795411350327,34
moe_matern32_matern12_gate40,2,-3.492466307588435,3.4948094400448317,2.647782507389446,0.31970018162978375,34
moe_matern32_matern12_gate40,3,-0.8760923558890463,4.127250051204108,3.6164837549747766,0.2846981192591379,34
moe_matern32_matern12_gate40,4,-0.8699962797955327,8.209934231385882,6.122699547721929,0.140273095299992,34
moe_matern32_matern12_gate40,5,0.2885758167812613,13.30030646631849,8.72347101047508,0.7481033591969553,34
moe_matern32_matern12_gate45,1,0.1930051044558173,9.808526572738097,4.746542512481695,0.22020028981704695,34
moe_matern32_matern12_gate45,2,-2.3250601572130027,3.0066359038055377,1.916793003131433,0.24182053529589692,34
moe_matern32_matern12_gate45,3,-2.1291873348839743,5.3302730456823,4.393883236282972,0.294847104047527,34
moe_matern32_matern12_gate45,4,-4.5751779358823965,14.17583576978605,10.587945736796,0.08353315589668371,34
moe_matern32_matern12_gate45,5,-0.12773571386220106,16.745611188581474,10.438674659115241,0.24762809000036473,34
moe_matern32_matern12_gate50,1,0.21398949987451876,9.680160386106959,5.334845914352821,0.21407051262612567,34
moe_matern32_matern12_gate50,2,-6.8907668563581,4.6317028767276565,2.783220362512148,0.05448730846128355,34
moe_matern32_matern12_gate50,3,-1.6729040901888967,4.92635111963722,3.975966085585423,0.5014268572171745,34
moe_matern32_matern12_gate50,4,-5.231197636394344,14.986667425728228,10.848516100540301,0.07856524299288059,34
moe_matern32_matern12_gate50,5,-0.009747244873603123,15.845417061242076,10.079717534124049,0.2856811650613238,34
moe_matern32_rf_gate40,1,0.9532678296018168,2.360349720924503,1.1294170265762418,0.981566776003513,34
moe_matern32_rf_gate40,2,-0.44612599342654,1.9828239318110445,1.3158568966214386,0.633934777631748,34
moe_matern32_rf_gate40,3,-0.6866416614549495,3.9133175123601744,3.262994727054472,0.09051736444705565,34
moe_matern32_rf_gate40,4,-4.399290030871355,13.950431315937749,9.646120062103128,0.03040125778659855,34
moe_matern32_rf_gate40,5,-0.015184890435198994,15.888024790486234,9.38044553081073,0.3487109683724564,34
moe_matern32_rf_gate45,1,0.7752379895311653,5.176423894009999,3.0412894039820615,0.8410469060464661,34
moe_matern32_rf_gate45,2,-0.3704490320188478,1.9302454171971812,1.3641018939357727,0.5002065227579834,34
moe_matern32_rf_gate45,3,-1.9767023534261372,5.198779288034751,4.188038069583023,0.14209959072299513,34
moe_matern32_rf_gate45,4,-8.130221787747296,18.140947667068165,14.271749867133813,0.047396500064623336,34
moe_matern32_rf_gate45,5,-0.44927142956556043,18.983321436734247,11.517914451357468,0.09716412776841038,34
moe_matern32_rf_gate50,1,0.8141021614199278,4.707664985285146,2.8602772501195024,0.8611781387456403,34
moe_matern32_rf_gate50,2,-1.2346903837593874,2.4648458609647244,1.5663577641419937,0.2868123940262719,34
moe_matern32_rf_gate50,3,-1.1877957107344819,4.4569427740666026,3.6962190572084674,0.23322008298445693,34
moe_matern32_rf_gate50,4,-6.008774627078526,15.894261514102126,11.536680557867157,0.0751086489271867,34
moe_matern32_rf_gate50,5,0.002330108351064064,15.75037031416476,9.480401121895833,0.4014402477384634,34
