source,model,kernel_family,R2,RMSE,MAE,coverage_95,NLPD,rank_R2,delta_R2_vs_reported_RF,RMSE_reduction_vs_reported_RF_pct,MAE_reduction_vs_reported_RF_pct,fold_RMSE_wins_out_of_10
GPR_fixed_10fold,base_cyclic_xproc_pca8_matern32,matern,0.933873818651511,2.6041187025050507,1.191773942545721,0.9529411764705882,2.4709190215959724,1,0.02565071865151103,15.117140422085525,5.56122152267666,2
GPR_fixed_10fold,base_cyclic_xproc_pca8_rbf_iso,rbf,0.9335047575907292,2.611375597850385,1.2177309460637586,0.9352941176470588,2.4253690781576185,2,0.0252816575907292,14.880597430409656,3.50433169008073,3
GPR_fixed_10fold,base_cyclic_xproc_pca8_rational_quadratic,rational_quadratic,0.9329619860532894,2.622011695094053,1.192167421655431,0.9411764705882352,2.4883975842284545,3,0.024738886053289444,14.533907263051752,5.530041375879709,1
GPR_fixed_10fold,base_cyclic_xproc_pca8_matern52,matern,0.932828129587368,2.6246281075883857,1.2326105779200949,0.9470588235294116,2.4702765000300806,4,0.0246050295873681,14.448623679726346,2.3252370593464695,1
GPR_fixed_10fold,base_cyclic_xproc_pca8_matern12,matern,0.9268841203030224,2.738292957740808,1.176259940674986,0.9529411764705882,2.484521078586743,5,0.018661020303022413,10.743647595052634,6.7905850233062335,2
RF_reported_reference,summary_plus_first_angle_raw_residualPLS5_RF,,0.9082231,3.067897,1.261954,,,6,0.0,0.0,0.0,0
RF_current_R_rerun,summary_first_angle_raw_residualPLS5_RF,,0.900572352061252,3.19321115427517,1.33929815204864,,,7,-0.0076507479387479815,-4.084692356854561,-6.128920075425886,0
GPR_fixed_10fold,base_cyclic_xproc_pca8_rbf_ard,rbf,0.8726759256384473,3.613510479067241,1.2646489518962498,0.8764705882352941,5.221269169940204,8,-0.035547174361552636,-17.784608774911327,-0.21355389310939998,1
GPR_fixed_10fold,base_cyclic_xproc_pca8_linear,linear,0.6624626867283078,5.8834890472009365,3.698088115176993,0.9352941176470588,3.1730788926544946,9,-0.24576041327169218,-91.77596403011367,-193.04460504717233,0
