series_prefix_candidate,n,n_distinct_fixed_folds,y_min,y_max,spearman_step_vs_y,axis_angle_mean_deg,n_high_angle,n_high_angle_y_below_30
0-0-3-18,7,5,1.89,39.07,-1.0,60.50017920492115,7,6
0-0-2-16,3,3,4.6,14.77,-0.5,55.57934170636505,3,3
0-0-2-13,9,6,5.23,43.73,-0.9500000000000001,38.93251610077893,0,0
0-0-3-1,9,6,46.53,47.62,-0.21666666666666667,-22.636322724327613,0,0
0-0-3-11,9,7,42.95,46.3,-0.43333333333333335,41.68499268010051,1,0
0-0-3-4,9,7,44.58,46.59,-1.0,14.743797184939105,0,0
0-0-4-6,9,5,47.14,49.76,-1.0,14.329046482359928,0,0
0-0-2-6,8,6,37.02,43.28,-1.0,5.209432427918673,0,0
0-0-3-8,8,6,48.68,50.33,-0.6904761904761906,13.600399858377308,0,0
0-0-4-13,8,7,45.61,46.98,-1.0,42.65065096740614,0,0
0-0-5-18,8,5,47.78,48.18,0.5952380952380953,60.23260440732508,8,0
0-0-2-9,7,7,42.05,43.93,0.6071428571428572,45.72051025179434,2,0
0-0-5-1,7,5,47.73,48.71,-1.0,-22.056122342489818,0,0
0-0-5-11,7,5,47.25,47.45,-0.5225437283634242,49.91732848426586,3,0
0-0-5-15,7,7,46.57,47.04,0.41443123283995714,48.239952715988544,1,0
0-0-5-8,7,4,48.17,50.72,-1.0,16.831858165451102,0,0
0-0-4-3,6,5,49.35,50.67,-0.942857142857143,-12.578558259925806,0,0
0-0-5-4,6,5,47.41,47.64,-1.0,30.32478264991202,1,0
0-0-4-10,5,4,49.04,49.17,-0.6668859288553501,22.44760208882272,0,0
0-0-4-16,5,4,42.82,45.89,0.9999999999999999,58.386979490559916,5,0
0-0-3-15,4,4,42.31,45.86,-1.0,47.49775987784002,0,0
0-0-4-17,4,4,47.28,47.67,-1.0,56.889921523314094,4,0
0-0-4-9,4,4,46.8,46.88,0.632455532033676,52.14979506363803,2,0
0-0-4-2,3,3,47.07,47.15,-1.0,30.489385537743033,1,0
0-0-5-5,3,3,51.96,52.24,-1.0,-2.87152088121775,0,0
0-0-2-3,2,2,18.83,24.7,0.9999999999999999,-12.925396244433156,0,0
0-0-3-14,2,2,39.98,43.62,0.9999999999999999,59.096349530963906,2,0
0-0-5-12,2,2,47.75,47.76,-0.9999999999999999,32.05221247388669,0,0
0-0-2-10,1,1,40.74,40.74,,22.082897416519195,0,0
0-0-3-7,1,1,44.66,44.66,,58.88636122473616,1,0
